Combos Taken,Mean Square Error,Absolute Error
Ref/Doc,2.915659866497181,1.6205057395945737
Cites/Doc(2 Years),0.12899724636754772,0.226192333754325
"Cites/Doc(2 Years), Ref/Doc",0.12087023722756622,0.21835223793596262
Citable Docs(3 Years),3.064566064076225,1.6860097152565796
"Citable Docs(3 Years), Ref/Doc",2.645569698919067,1.5337737880559008
"Citable Docs(3 Years), Cites/Doc(2 Years)",0.12489567995344963,0.22381506064979745
"Citable Docs(3 Years), Cites/Doc(2 Years), Ref/Doc",0.11802606667298624,0.2166034226606841
Total Cites(3 Years),2.0892021243393546,1.384971851308531
"Total Cites(3 Years), Ref/Doc",1.8085421011583542,1.252368006940223
"Total Cites(3 Years), Cites/Doc(2 Years)",0.12449549479947077,0.22243622219654724
"Total Cites(3 Years), Cites/Doc(2 Years), Ref/Doc",0.11739695582010141,0.215063054399179
"Total Cites(3 Years), Citable Docs(3 Years)",2.1950832326606426,1.3674113223479578
"Total Cites(3 Years), Citable Docs(3 Years), Ref/Doc",2.074038069901677,1.2886080000085234
"Total Cites(3 Years), Citable Docs(3 Years), Cites/Doc(2 Years)",0.1254977801849024,0.22379001675705448
"Total Cites(3 Years), Citable Docs(3 Years), Cites/Doc(2 Years), Ref/Doc",0.11783991192984013,0.2156220280712665
Total Refs,3.0346510931028154,1.686877899046868
"Total Refs, Ref/Doc",2.7062477284850313,1.5629877926867088
"Total Refs, Cites/Doc(2 Years)",0.1267682711710134,0.22362861380806834
"Total Refs, Cites/Doc(2 Years), Ref/Doc",0.11816261159430301,0.214033881891794
"Total Refs, Citable Docs(3 Years)",3.034427220348787,1.679505368581057
"Total Refs, Citable Docs(3 Years), Ref/Doc",2.6553494868495786,1.5347510423517494
"Total Refs, Citable Docs(3 Years), Cites/Doc(2 Years)",0.12489952483804932,0.22444940177171027
"Total Refs, Citable Docs(3 Years), Cites/Doc(2 Years), Ref/Doc",0.11787438730281603,0.21604299810657993
"Total Refs, Total Cites(3 Years)",2.012427289385541,1.3541173853224553
"Total Refs, Total Cites(3 Years), Ref/Doc",1.7121816751256647,1.2041638778853199
"Total Refs, Total Cites(3 Years), Cites/Doc(2 Years)",0.12461280426311352,0.222788265141633
"Total Refs, Total Cites(3 Years), Cites/Doc(2 Years), Ref/Doc",0.11730606993444452,0.21481721878306184
"Total Refs, Total Cites(3 Years), Citable Docs(3 Years)",2.252614323979112,1.3796993204997994
"Total Refs, Total Cites(3 Years), Citable Docs(3 Years), Ref/Doc",2.1015319616857604,1.2971503766179748
"Total Refs, Total Cites(3 Years), Citable Docs(3 Years), Cites/Doc(2 Years)",0.12525013579706326,0.2235289079171922
"Total Refs, Total Cites(3 Years), Citable Docs(3 Years), Cites/Doc(2 Years), Ref/Doc",0.11794220256514412,0.2156801996676532
Total Docs(3 Years),3.0521928711010795,1.6801068861075015
"Total Docs(3 Years), Ref/Doc",2.6276189472942457,1.525613835224364
"Total Docs(3 Years), Cites/Doc(2 Years)",0.12500654575643386,0.2238331557107257
"Total Docs(3 Years), Cites/Doc(2 Years), Ref/Doc",0.11826584688718894,0.21668836118565843
"Total Docs(3 Years), Citable Docs(3 Years)",3.0552507868182013,1.6658904621208839
"Total Docs(3 Years), Citable Docs(3 Years), Ref/Doc",2.5827962872961665,1.4869203219954814
"Total Docs(3 Years), Citable Docs(3 Years), Cites/Doc(2 Years)",0.12781323578484685,0.22483290604176015
"Total Docs(3 Years), Citable Docs(3 Years), Cites/Doc(2 Years), Ref/Doc",0.12110642964289929,0.21785053048653763
"Total Docs(3 Years), Total Cites(3 Years)",2.171709881497387,1.3656080239029154
"Total Docs(3 Years), Total Cites(3 Years), Ref/Doc",2.0379060072970607,1.2845536274969862
"Total Docs(3 Years), Total Cites(3 Years), Cites/Doc(2 Years)",0.12469686773731964,0.2225818314362487
"Total Docs(3 Years), Total Cites(3 Years), Cites/Doc(2 Years), Ref/Doc",0.11742744473841311,0.21508847622813212
"Total Docs(3 Years), Total Cites(3 Years), Citable Docs(3 Years)",2.0490624360702547,1.322449912882808
"Total Docs(3 Years), Total Cites(3 Years), Citable Docs(3 Years), Ref/Doc",1.8935197043150471,1.2297384784884868
"Total Docs(3 Years), Total Cites(3 Years), Citable Docs(3 Years), Cites/Doc(2 Years)",0.12770638255337274,0.2255121827213487
"Total Docs(3 Years), Total Cites(3 Years), Citable Docs(3 Years), Cites/Doc(2 Years), Ref/Doc",0.12073530037093282,0.21746189256519055
"Total Docs(3 Years), Total Refs",3.035536378977799,1.6766907583707256
"Total Docs(3 Years), Total Refs, Ref/Doc",2.6462116155584887,1.5268997233297972
"Total Docs(3 Years), Total Refs, Cites/Doc(2 Years)",0.12510171550624916,0.22468118973805043
"Total Docs(3 Years), Total Refs, Cites/Doc(2 Years), Ref/Doc",0.11816223795310334,0.2163776579313554
"Total Docs(3 Years), Total Refs, Citable Docs(3 Years)",3.012681832253747,1.6568785840564366
"Total Docs(3 Years), Total Refs, Citable Docs(3 Years), Ref/Doc",2.5908811371626403,1.4877067402926663
"Total Docs(3 Years), Total Refs, Citable Docs(3 Years), Cites/Doc(2 Years)",0.12783097832112542,0.22495429726857422
"Total Docs(3 Years), Total Refs, Citable Docs(3 Years), Cites/Doc(2 Years), Ref/Doc",0.12091269676506629,0.21734093650101957
"Total Docs(3 Years), Total Refs, Total Cites(3 Years)",2.2038981752240927,1.373600234950551
"Total Docs(3 Years), Total Refs, Total Cites(3 Years), Ref/Doc",2.0371539613669976,1.2843109032977962
"Total Docs(3 Years), Total Refs, Total Cites(3 Years), Cites/Doc(2 Years)",0.12439439903282429,0.22267297512623227
"Total Docs(3 Years), Total Refs, Total Cites(3 Years), Cites/Doc(2 Years), Ref/Doc",0.11741076075839142,0.21482680370237436
"Total Docs(3 Years), Total Refs, Total Cites(3 Years), Citable Docs(3 Years)",2.1080823922905934,1.3379781346463777
"Total Docs(3 Years), Total Refs, Total Cites(3 Years), Citable Docs(3 Years), Ref/Doc",1.9230536790307593,1.2399442710227329
"Total Docs(3 Years), Total Refs, Total Cites(3 Years), Citable Docs(3 Years), Cites/Doc(2 Years)",0.1276501490805142,0.22542369237123083
